% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 17 2022, 22:52
% Table:              Table 1 - Line Average 1
% x1 (mm)                                         Electric potential (V)
0.1                                               0.055396703523795776
2.1                                               2.6315376495940748
4.1                                               4.78441429848918
6.1                                               6.80422741688316
8.1                                               8.784528043413056
10.1                                              10.76227739900338
12.1                                              12.763882405614671
14.1                                              14.803367517282394
16.1                                              16.893656951389268
18.1                                              19.04641935068148
20.100000000000005                                21.267246959846034
22.1                                              23.572407745354678
24.100000000000005                                25.9713793700764
26.1                                              28.470567991861394
28.100000000000005                                31.082793235753233
30.1                                              33.82019271511899
32.1                                              36.6947714494751
34.10000000000001                                 39.72240135218466
36.1                                              42.916574039240324
38.1                                              46.29583410745137
40.1                                              49.87919142783308
42.10000000000001                                 53.68801865254243
44.1                                              57.74814522017978
46.1                                              62.08875996859793
48.1                                              66.74283975882085
50.10000000000001                                 71.74446378067869
52.1                                              77.1430431690729
54.1                                              82.98419805341625
56.1                                              89.33202593633305
58.10000000000001                                 96.2573045001011
60.1                                              103.84404946287735
62.1                                              112.1964533340058
64.1                                              121.43693566545657
66.1                                              131.72488861394964
68.1                                              143.24629974491992
70.1                                              156.24422117819097
72.1                                              171.02681547876986
74.1                                              187.99133155029028
76.1                                              207.66262891312766
78.10000000000001                                 230.75353999358532
80.1                                              258.2522025587838
82.1                                              291.5486632231523
84.1                                              332.70847591924445
86.1                                              384.90897077904
88.1                                              453.2728325205024
90.1                                              546.7369326282425
92.1                                              682.1989661014491
94.10000000000001                                 896.3147456110669
96.1                                              1285.594947162446
98.1                                              2213.796556952706
