% Model:              Untitled.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 17 2022, 23:03
% Table:              Table 2 - Line Integration 1
% x1 (mm)                0.1[m]*es.nD (C)
0.1                      1.443704954919794E-11
2.1                      1.2431530444417486E-9
4.1                      2.6079453059710095E-9
6.1                      3.995901017659432E-9
8.1                      5.381832425834579E-9
10.1                     6.77315851490102E-9
12.1                     8.161904740359328E-9
14.1                     9.561698809058471E-9
16.1                     1.0954837913151632E-8
18.1                     1.2352329956008238E-8
20.100000000000005       1.3748327856890497E-8
22.1                     1.5140609279402808E-8
24.100000000000005       1.6533826156838505E-8
26.1                     1.7935368420849388E-8
28.100000000000005       1.9332275796603506E-8
30.1                     2.0728284412322526E-8
32.1                     2.2124451793427374E-8
34.10000000000001        2.3521376766557396E-8
36.1                     2.4918448313550652E-8
38.1                     2.631749375071488E-8
40.1                     2.7718550244120038E-8
42.10000000000001        2.9115926927220945E-8
44.1                     3.051573833522509E-8
46.1                     3.191422984938936E-8
48.1                     3.3310135793953355E-8
50.10000000000001        3.471089096409838E-8
52.1                     3.610526714765517E-8
54.1                     3.7507634873492334E-8
56.1                     3.890399526870325E-8
58.10000000000001        4.0299509711787226E-8
60.1                     4.169895061934983E-8
62.1                     4.309930283679256E-8
64.1                     4.450049091902872E-8
66.1                     4.589790475490195E-8
68.1                     4.729318628500449E-8
70.1                     4.869169624526617E-8
72.1                     5.0089493672332985E-8
74.1                     5.1489933043310973E-8
76.1                     5.288937371677691E-8
78.10000000000001        5.4286040767945686E-8
80.1                     5.568955293325722E-8
82.1                     5.7087575276909386E-8
84.1                     5.848335831722937E-8
86.1                     5.9888182699887E-8
88.1                     6.128520493216849E-8
90.1                     6.268531475068524E-8
92.1                     6.408004351288916E-8
94.10000000000001        6.548081656470753E-8
96.1                     6.688186057356672E-8
98.1                     6.827988254033763E-8
